Cross Number	Matalpha parent	Mata parent	Tetrad	Spore	Spore fitness in 21 C	replicate deviation	Parent 1 fitness, 21 C	Parent 1 replicate deviation	Parent 2 fitness, 21 C	Parent 2 replicate deviation
mat15	anc	anc-rho0	tet2	clone4	-0.0463050134898	0.00973487213805	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet3	clone1	-0.0406108726023	0.0284746335559	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet3	clone2	-0.0445156662088	0.0130682210839	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet3	clone3	-0.0576788965011	0.00526039172184	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet3	clone4	-0.0661550134309	0.0176911668773	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet1	clone1	0.0192781823237	0.0308387510154	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet1	clone2	0.0172891647769	0.0192951891621	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet1	clone3	0.0384420761771	0.0191792954955	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet1	clone4	0.0194595065533	0.0175959098238	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet2	clone1	0.0230718902775	0.0175162644343	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet2	clone2	0.0138647872779	0.00693723036618	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet2	clone3	0.0435533161125	0.00901485688137	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet2	clone4	0.0292915167425	0.00866635118172	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet3	clone1	0.0398214676867	0.0359877320084	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet3	clone2	0.0426417846514	0.0219255392504	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet3	clone3	0.0225888278077	0.0204622478212	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet3	clone4	0.00749972956156	0.0213998326909	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet4	clone1	0.0343737935335	0.0336708262945	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet4	clone2	0.00947297444407	0.0148291805398	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet4	clone3	0.014901237702	0.0403507909929	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat4	anc	anc	tet4	clone4	0.0154312083782	0.0308389294618	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat5	N17	N17	tet1	clone1	-0.400191030945	0.017900785569	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet1	clone2	-0.417424648746	0.0213559806006	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet1	clone3	-0.422163848401	0.0757011554334	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet1	clone4	-0.420514059034	0.0404891599777	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet2	clone1	-0.423146232361	0.00132141557364	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet2	clone2	-0.366323430053	0.0597774943974	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet2	clone3	-0.401879622247	0.0255128153385	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet2	clone4	-0.378004107963	0.0152468981673	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet3	clone1	-0.419967412877	0.00993077534115	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet3	clone2	-0.42257409498	0.0676920448977	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet3	clone3	-0.324209410128	0.0692193817218	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet3	clone4	-0.387710978144	0.0620820588661	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet4	clone1	-0.399405201814	0.0125661468602	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet4	clone2	-0.367907070467	0.0353716258321	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet4	clone3	-0.309665675161	0.0457637090364	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat5	N17	N17	tet4	clone4	-0.406944668218	0.0760319031687	-0.432610269222	0.0194534666364	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet1	clone1	0.013735012737	0.0214549726999	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet1	clone2	0.0206360269364	0.000898033559573	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet1	clone3	-0.00656246036485	0.00925245793216	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet1	clone4	-0.00664884325884	0.0106757262471	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet2	clone1	-0.0100775460026	0.0236196441045	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet2	clone2	0.0188049024302	0.0210466631443	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet2	clone3	-0.00972470172395	0.0179957471171	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet2	clone4	0.0195970267019	0.013314216336	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet3	clone1	-0.0135994657379	0.0364634977384	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet3	clone2	-0.00804416194937	0.014910645834	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet3	clone3	-0.00193962398036	0.0132473568401	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet3	clone4	0.0151805956979	0.022541709994	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet4	clone1	0.00185413342861	0.075185117373	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet4	clone2	-0.354094597575	0.0953229901442	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet4	clone3	-0.379001157286	0.0690441875348	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat8	anc-rho0	N17	tet4	clone4	0.00595199145466	0.024771177424	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
