Evolution environment	Clone number	Fitness at 21 C vs. original reference	Fitness at 21 C vs. cured reference
Evolved in pH 7.3	clone14	-0.276163266228	-0.0409352114113
Evolved in pH 7.3	clone15	-0.00609462583844	0.210830150247
Evolved in pH 7.3	clone16	-0.0931559973643	-0.0587470134227
Evolved in pH 7.3	clone17	-0.141597595274	-0.0408242236158
Evolved in pH 7.3	clone18	-0.369580552393	-0.0366462187271
Evolved in pH 7.3	clone19	-0.0609533706519	0.210465344326
Evolved in pH 7.3	clone2	-0.0497401164395	0.200648089036
Evolved in pH 7.3	clone20	-0.0902775509314	-0.0236137571361
Evolved in pH 7.3	clone3	-0.0338779993181	-0.0503340735393
Evolved in pH 7.3	clone4	-0.339348121047	-0.043730230075
Evolved in pH 7.3	clone5	-0.074454913976	-0.087494691032
Evolved in pH 7.3	clone6	-0.115915338799	0.250625001302
Evolved in pH 7.3	clone7	-0.384727736392	-0.0535726667599
Evolved in pH 7.3	clone8	-0.00610711949715	-0.0282645503006
Evolved in pH 7.3	clone9	-0.344148293035	-0.121961182952
Evolved in .8 M	clone1	-0.364543117275	-0.0430411624243
Evolved in .8 M	clone10	-0.0210996040776	0.208749484291
Evolved in .8 M	clone11	-0.343596600571	-0.0389587754108
Evolved in .8 M	clone12	-0.068699068046	0.210199743394
Evolved in .8 M	clone13	-0.310582121419	-0.031471104891
Evolved in .8 M	clone14	-0.0327950185299	0.202575071176
Evolved in .8 M	clone15	-0.243176320001	-0.045841282372
Evolved in .8 M	clone16	-0.29276852981	-0.0251383533151
Evolved in .8 M	clone17	-0.328945058612	-0.0680596737565
Evolved in .8 M	clone18	-0.0332341810281	-0.0417192953094
Evolved in .8 M	clone19	-0.285974926296	-0.0725122184295
Evolved in .8 M	clone2	-0.164992854372	0.0852719487309
Evolved in .8 M	clone20	-0.234229546154	-0.0634473784791
Evolved in .8 M	clone3	-0.0504439630654	-0.0500663402015
Evolved in .8 M	clone4	-0.0209661700569	0.0653949428009
Evolved in .8 M	clone5	-0.019396553409	-0.0325063736877
Evolved in .8 M	clone6	-0.256311760725	-0.0288420190487
Evolved in .8 M	clone7	-0.351087264173	-0.107598973622
Evolved in .8 M	clone8	-0.282247183974	-0.0779289845018
Evolved in .8 M	clone9	-0.238536044098	-0.0832823937633
